progan: 100.0
2025-03-19 13:25:26.880961
cyclegan: 99.83
2025-03-19 13:25:47.221672
biggan: 99.34
2025-03-19 13:26:08.073642
stylegan: 97.03
2025-03-19 13:26:28.814348
gaugan: 99.98
2025-03-19 13:26:49.249687
stargan: 99.55
2025-03-19 13:27:09.991074
deepfake: 87.1
2025-03-19 13:27:30.403571
sitd: 78.52
2025-03-19 13:28:34.754559
san: 88.06
2025-03-19 13:28:49.293349
crn: 94.4
2025-03-19 13:29:09.725688
imle: 97.24
2025-03-19 13:29:30.118778
guided: 88.45
2025-03-19 13:29:50.564272
ldm_200: 99.32
2025-03-19 13:30:10.718517
ldm_200_cfg: 91.31
2025-03-19 13:30:30.729435
ldm_100: 99.24
2025-03-19 13:30:50.911195
glide_100_27: 97.33
2025-03-19 13:31:11.109428
glide_50_27: 97.52
2025-03-19 13:31:31.118969
glide_100_10: 97.13
2025-03-19 13:31:51.297868
dalle: 96.38
2025-03-19 13:32:11.323368
