progan: 100.0
2025-03-19 13:17:22.084661
cyclegan: 99.84
2025-03-19 13:17:42.474823
biggan: 99.41
2025-03-19 13:18:03.212990
stylegan: 97.51
2025-03-19 13:18:23.549721
gaugan: 99.99
2025-03-19 13:18:43.827520
stargan: 99.64
2025-03-19 13:19:04.224445
deepfake: 87.78
2025-03-19 13:19:24.469295
sitd: 80.03
2025-03-19 13:20:29.537628
san: 88.85
2025-03-19 13:20:44.096448
crn: 95.67
2025-03-19 13:21:04.559087
imle: 97.96
2025-03-19 13:21:25.128753
guided: 89.09
2025-03-19 13:21:45.671981
ldm_200: 99.36
2025-03-19 13:22:06.719032
ldm_200_cfg: 92.11
2025-03-19 13:22:28.304466
ldm_100: 99.26
2025-03-19 13:22:49.138066
glide_100_27: 97.12
2025-03-19 13:23:09.394883
glide_50_27: 97.35
2025-03-19 13:23:29.632584
glide_100_10: 96.92
2025-03-19 13:23:49.830880
dalle: 96.54
2025-03-19 13:24:10.403907
